,Athlete,Gender,Event,Medal,DOB,height,weight_lbs,weight_kg,DOB1,Age,Year
237,"SZEKELY, Eva",Women,200m breaststroke,Gold,"April 3, 1927 (age 89 years)",,,#VALUE!,"April 3, 1927 ",25.4301369863,1952
238,"NOVAK-GERARD, Eva",Women,200m breaststroke,Silver,,,,#VALUE!,,,1952
239,"ÉSTRAND, Per-Olof",Men,400m freestyle,Bronze,,,,#VALUE!,,,1952
240,"BOITEUX, Jean",Men,400m freestyle,Gold,20-Jun-33,185.42,183,83.18181818,20-Jun-33,,1952
241,"KONNO, Ford Hiroshi",Men,400m freestyle,Silver,,,150,68.18181818,,,1952
242,"KAWAMOTO, Evelyn Tokue",Women,400m freestyle,Bronze,"September 17, 1933 (age 83 years)",,,#VALUE!,"September 17, 1933 ",18.9671232877,1952
243,"GYENGE, Valeria",Women,400m freestyle,Gold,"April 3, 1933 (age 83 years)",,,#VALUE!,"April 3, 1933 ",19.4246575342,1952
244,"NOVAK-GERARD, Eva",Women,400m freestyle,Silver,,,,#VALUE!,,,1952
245,"MCKINNEY, Frank Edward Jr.",Men,100m backstroke,Bronze,3-Nov-38,182.88,163,74.09090909,3-Nov-38,,1956
246,"THEILE, David Egmont",Men,100m backstroke,Gold,"January 17, 1938 (age 78 years)",190.5,,#VALUE!,"January 17, 1938 ",18.6328767123,1956
247,"MONCKTON, John James",Men,100m backstroke,Silver,"October 28, 1938 (age 78 years)",193.04,183,83.18181818,"October 28, 1938 ",17.8547945205,1956
248,"EDWARDS, Margaret",Women,100m backstroke,Bronze,23-Oct-02,,119,54.09090909,23-Oct-02,,1956
249,"GRINHAM, Judith Brenda",Women,100m backstroke,Gold,"March 5, 1939 (age 77 years)",,,#VALUE!,"March 5, 1939 ",17.504109589,1956
250,"CONE, Carin Alice",Women,100m backstroke,Silver,"April 18, 1940 (age 76 years)",167.64,130,59.09090909,"April 18, 1940 ",16.3808219178,1956
251,"SEARS, Mary Jane",Women,100m butterfly,Bronze,,,130,59.09090909,,,1956
252,"MANN, Shelley Isabel",Women,100m butterfly,Gold,,172.72,134,60.90909091,,,1956
253,"RAMEY, Nancy Jane",Women,100m butterfly,Silver,,175.26,112,50.90909091,,,1956
254,"CHAPMAN, Gary",Men,100m freestyle,Bronze,"January 10, 1938 (age 78 years)",,,#VALUE!,"January 10, 1938 ",18.6520547945,1956
255,"HENRICKS, Jon Malcolm",Men,100m freestyle,Gold,"June 6, 1935 (age 81 years)",182.88,172,78.18181818,"June 6, 1935 ",21.2520547945,1956
256,"DEVITT, John",Men,100m freestyle,Silver,,185.42,187,85,,,1956
257,"LEECH, Faith Yvonne",Women,100m freestyle,Bronze,,177.8,,#VALUE!,,,1956
258,"FRASER, Dawn",Women,100m freestyle,Gold,"September 4, 1937 (age 79 years)",172.72,148,67.27272727,"September 4, 1937 ",19.002739726,1956
259,"CRAPP, Lorraine Joyce",Women,100m freestyle,Silver,"October 1, 1938 (age 78 years)",167.64,,#VALUE!,"October 1, 1938 ",17.9287671233,1956
260,"BREEN, George Thomas",Men,1500m freestyle,Bronze,"July 19, 1935 (age 81 years)",182.88,183,83.18181818,"July 19, 1935 ",21.1342465753,1956
261,"ROSE, Murray",Men,1500m freestyle,Gold,6-Jan-39,185.42,176,80,6-Jan-39,,1956
262,"YAMANAKA, Tsuyoshi",Men,1500m freestyle,Silver,"January 18, 1939 (age 77 years)",170.18,165,75,"January 18, 1939 ",17.6301369863,1956
263,"YUNICHEV, Kharis",Men,200m breaststroke,Bronze,7-Aug-31,,,#VALUE!,7-Aug-31,,1956
264,"FURUKAWA, Masaru",Men,200m breaststroke,Gold,6-Jan-36,,,#VALUE!,6-Jan-36,,1956
265,"YOSHIMURA, Masahiro",Men,200m breaststroke,Silver,28-Oct-36,,,#VALUE!,28-Oct-36,,1956
266,"TEN ELSEN, Eva-Maria",Women,200m breaststroke,Bronze,"September 14, 1937 (age 79 years)",,,#VALUE!,"September 14, 1937 ",18.9753424658,1956
267,"HAPPE-KREY, Ursula",Women,200m breaststroke,Gold,"October 20, 1926 (age 90 years)",,,#VALUE!,"October 20, 1926 ",,1956
268,"SZEKELY, Eva",Women,200m breaststroke,Silver,"April 3, 1927 (age 89 years)",,,#VALUE!,"April 3, 1927 ",,1956
269,"TUMPEK, Gy_rgy",Men,200m butterfly,Bronze,,,,#VALUE!,,,1956
270,"YORZYK, William Albert Jr.",Men,200m butterfly,Gold,"May 29, 1933 (age 83 years)",177.8,163,74.09090909,"May 29, 1933 ",23.2739726027,1956
271,"ISHIMOTO, Takashi",Men,200m butterfly,Silver,,,,#VALUE!,,,1956
272,"BREEN, George Thomas",Men,400m freestyle,Bronze,,182.88,183,83.18181818,,,1956
273,"ROSE, Murray",Men,400m freestyle,Gold,,185.42,176,80,,,1956
274,"YAMANAKA, Tsuyoshi",Men,400m freestyle,Silver,,170.18,165,75,,,1956
275,"RUUSKA, Sylvia Eliina",Women,400m freestyle,Bronze,,172.72,139,63.18181818,,,1956
276,"CRAPP, Lorraine Joyce",Women,400m freestyle,Gold,,167.64,,#VALUE!,,,1956
277,"FRASER, Dawn",Women,400m freestyle,Silver,,172.72,148,67.27272727,,,1956
278,"BENNETT, Robert Earl",Men,100m backstroke,Bronze,,182.88,172,78.18181818,,,1960
279,"THEILE, David Egmont",Men,100m backstroke,Gold,"January 17, 1938 (age 78 years)",190.5,,#VALUE!,"January 17, 1938 ",22.6356164384,1960
280,"MCKINNEY, Frank Edward Jr.",Men,100m backstroke,Silver,3-Nov-38,182.88,163,74.09090909,3-Nov-38,,1960
281,"TANAKA, Satoko",Women,100m backstroke,Bronze,"February 3, 1942 (age 74 years)",157.48,130,59.09090909,"February 3, 1942 ",18.5863013699,1960
282,"BURKE, Lynn Edythe",Women,100m backstroke,Gold,"March 22, 1943 (age 73 years)",172.72,134,60.90909091,"March 22, 1943 ",17.4575342466,1960
283,"STEWARD, Natalie Alwyne",Women,100m backstroke,Silver,"April 30, 1943 (age 73 years)",,154,70,"April 30, 1943 ",17.3506849315,1960
284,"ANDREW, Janice",Women,100m butterfly,Bronze,"January 5, 1943 (age 73 years)",162.56,119,54.09090909,"January 5, 1943 ",17.6657534247,1960
285,"SCHULER, Carolyn Jane",Women,100m butterfly,Gold,"January 5, 1943 (age 73 years)",167.64,139,63.18181818,"January 5, 1943 ",17.6657534247,1960
286,"HEEMSKERK, Marianne Yvonne",Women,100m butterfly,Silver,"August 28, 1944 (age 72 years)",,121,55,"August 28, 1944 ",16.0191780822,1960
287,"DOS SANTOS, Manoel",Men,100m freestyle,Bronze,"July 23, 1988 (age 28 years)",,139,63.18181818,"July 23, 1988 ",,1960
288,"DEVITT, John",Men,100m freestyle,Gold,,185.42,187,85,,,1960
289,"LARSON, Lance Melvin",Men,100m freestyle,Silver,"July 3, 1940 (age 76 years)",185.42,174,79.09090909,"July 3, 1940 ",20.1753424658,1960
290,"STEWARD, Natalie Alwyne",Women,100m freestyle,Bronze,"April 30, 1943 (age 73 years)",,154,70,"April 30, 1943 ",17.3506849315,1960
291,"FRASER, Dawn",Women,100m freestyle,Gold,"September 4, 1937 (age 79 years)",172.72,148,67.27272727,"September 4, 1937 ",23.0054794521,1960
292,"VON SALTZA, Susan Christina",Women,100m freestyle,Silver,"January 13, 1944 (age 72 years)",,139,63.18181818,"January 13, 1944 ",16.6438356164,1960
293,"BREEN, George Thomas",Men,1500m freestyle,Bronze,"July 19, 1935 (age 81 years)",182.88,183,83.18181818,"July 19, 1935 ",25.1369863014,1960
294,"KONRADS, John (Jon)",Men,1500m freestyle,Gold,"May 21, 1942 (age 74 years)",177.8,,#VALUE!,"May 21, 1942 ",18.2931506849,1960
295,"ROSE, Murray",Men,1500m freestyle,Silver,6-Jan-39,185.42,176,80,6-Jan-39,,1960
296,"MENSONIDES, Wieger Emile",Men,200m breaststroke,Bronze,"July 12, 1938 (age 78 years)",177.8,179,81.36363636,"July 12, 1938 ",22.1534246575,1960
297,"MULLIKEN, William Danforth",Men,200m breaststroke,Gold,27-Aug-39,187.96,183,83.18181818,27-Aug-39,,1960
298,"OSAKI, Yoshihiko",Men,200m breaststroke,Silver,27-Feb-39,175.26,150,68.18181818,27-Feb-39,,1960
299,"GÉBEL, Barbara",Women,200m breaststroke,Bronze,,,,#VALUE!,,,1960
300,"LONSBROUGH, Anita",Women,200m breaststroke,Gold,"August 10, 1941 (age 75 years)",,154,70,"August 10, 1941 ",19.0712328767,1960
301,"URSELMANN, Wiltrud",Women,200m breaststroke,Silver,"May 12, 1942 (age 74 years)",175.26,161,73.18181818,"May 12, 1942 ",18.3178082192,1960
302,"GILLANDERS, John David",Men,200m butterfly,Bronze,,180.34,154,70,,,1960
303,"TROY, Michael Francis",Men,200m butterfly,Gold,"October 3, 1940 (age 76 years)",185.42,170,77.27272727,"October 3, 1940 ",19.9232876712,1960
304,"HAYES, Neville",Men,200m butterfly,Silver,"December 2, 1943 (age 72 years)",182.88,176,80,"December 2, 1943 ",16.7589041096,1960
305,"KONRADS, John (Jon)",Men,400m freestyle,Bronze,"May 21, 1942 (age 74 years)",177.8,,#VALUE!,"May 21, 1942 ",18.2931506849,1960
306,"ROSE, Murray",Men,400m freestyle,Gold,6-Jan-39,185.42,176,80,6-Jan-39,,1960
307,"YAMANAKA, Tsuyoshi",Men,400m freestyle,Silver,"January 18, 1939 (age 77 years)",170.18,165,75,"January 18, 1939 ",21.6328767123,1960
308,"LAGERBERG, Catharina (Tineke)",Women,400m freestyle,Bronze,"January 30, 1941 (age 75 years)",149.86,,#VALUE!,"January 30, 1941 ",19.597260274,1960
309,"VON SALTZA, Susan Christina",Women,400m freestyle,Gold,"January 13, 1944 (age 72 years)",,139,63.18181818,"January 13, 1944 ",16.6438356164,1960
310,"CEDERQVIST, Jane",Women,400m freestyle,Silver,"July 1, 1945 (age 71 years)",172.72,146,66.36363636,"July 1, 1945 ",15.1780821918,1960
311,"DUENKEL, Virginia Ruth",Women,100m backstroke,Bronze,"March 7, 1947 (age 69 years)",170.18,134,60.90909091,"March 7, 1947 ",17.498630137,1964
312,"FERGUSON, Kathleen Jean",Women,100m backstroke,Gold,,,,#VALUE!,,,1964
313,"CARON, Christine (Kiki)",Women,100m backstroke,Silver,,,,#VALUE!,,,1964
314,"ELLIS, Kathleen",Women,100m butterfly,Bronze,,,130,59.09090909,,,1964
315,"STOUDER, Sharon Marie",Women,100m butterfly,Gold,,172.72,134,60.90909091,,,1964
316,"KOK, Aagje Ada",Women,100m butterfly,Silver,"June 6, 1947 (age 69 years)",182.88,187,85,"June 6, 1947 ",17.2493150685,1964
317,"KLEIN, Hans-Joachim",Men,100m freestyle,Bronze,"December 21, 1947 (age 68 years)",,176,80,"December 21, 1947 ",16.7068493151,1964
318,"SCHOLLANDER, Donald Arthur",Men,100m freestyle,Gold,"April 30, 1946 (age 70 years)",180.34,174,79.09090909,"April 30, 1946 ",18.3506849315,1964
319,"MCGREGOR, Robert Bilsland",Men,100m freestyle,Silver,,,176,80,,,1964
320,"ELLIS, Kathleen",Women,100m freestyle,Bronze,,,130,59.09090909,,,1964
321,"FRASER, Dawn",Women,100m freestyle,Gold,"September 4, 1937 (age 79 years)",172.72,148,67.27272727,"September 4, 1937 ",27.0082191781,1964
322,"STOUDER, Sharon Marie",Women,100m freestyle,Silver,9-Nov-48,172.72,134,60.90909091,9-Nov-48,,1964
323,"WOOD, Allan",Men,1500m freestyle,Bronze,"December 1, 1935 (age 80 years)",165.1,150,68.18181818,"December 1, 1935 ",,1964
324,"WINDLE, Robert George",Men,1500m freestyle,Gold,"November 7, 1944 (age 72 years)",185.42,170,77.27272727,"November 7, 1944 ",19.8273972603,1964
325,"NELSON, John Mauer",Men,1500m freestyle,Silver,,,146,66.36363636,,,1964
326,"BENNETT, Robert Earl",Men,200m backstroke,Bronze,,182.88,172,78.18181818,,,1964
327,"GRAEF, Jedward Richard",Men,200m backstroke,Gold,,,201,91.36363636,,,1964
328,"DILLEY, Gary J.",Men,200m backstroke,Silver,"January 15, 1945 (age 71 years)",185.42,165,75,"January 15, 1945 ",19.6383561644,1964
329,"JASTREMSKI, Chester Andrew",Men,200m breaststroke,Bronze,12-Jan-41,175.26,176,80,12-Jan-41,,1964
330,"O'BRIEN, Lawrence Ian",Men,200m breaststroke,Gold,,,,#VALUE!,,,1964
331,"PROKOPENKO, Georgi",Men,200m breaststroke,Silver,"February 21, 1937 (age 79 years)",180.34,,#VALUE!,"February 21, 1937 ",,1964
332,"BABANINA, Svetlana",Women,200m breaststroke,Bronze,"February 4, 1943 (age 73 years)",172.72,137,62.27272727,"February 4, 1943 ",21.5863013699,1964
333,"PROZUMENSCHIKOVA-STEPANOVA, Galina",Women,200m breaststroke,Gold,26-Nov-48,170.18,,#VALUE!,26-Nov-48,,1964
334,"KOLB, Claudia Anne",Women,200m breaststroke,Silver,"December 19, 1949 (age 66 years)",170.18,134,60.90909091,"December 19, 1949 ",14.7095890411,1964
335,"SCHMIDT, Frederick Weber",Men,200m butterfly,Bronze,,187.96,185,84.09090909,,,1964
336,"BERRY, Kevin John",Men,200m butterfly,Gold,10-Apr-45,172.72,157,71.36363636,10-Apr-45,,1964
337,"ROBIE, Carl Joseph III",Men,200m butterfly,Silver,2-May-45,177.8,161,73.18181818,2-May-45,,1964
338,"WOOD, Allan",Men,400m freestyle,Bronze,"December 1, 1935 (age 80 years)",165.1,150,68.18181818,"December 1, 1935 ",,1964
339,"SCHOLLANDER, Donald Arthur",Men,400m freestyle,Gold,"April 30, 1946 (age 70 years)",180.34,174,79.09090909,"April 30, 1946 ",18.3506849315,1964
340,"WIEGAND, Frank",Men,400m freestyle,Silver,"March 15, 1943 (age 73 years)",180.34,154,70,"March 15, 1943 ",21.4794520548,1964
341,"STICKLES, Therese Lee",Women,400m freestyle,Bronze,,,,#VALUE!,,,1964
342,"DUENKEL, Virginia Ruth",Women,400m freestyle,Gold,"March 7, 1947 (age 69 years)",170.18,134,60.90909091,"March 7, 1947 ",17.498630137,1964
343,"RAMENOFSKY, Marilyn",Women,400m freestyle,Silver,"August 20, 1946 (age 70 years)",170.18,134,60.90909091,"August 20, 1946 ",18.0438356164,1964
344,"HETZ, Gerhard",Men,400m individual medley,Bronze,13-Jul-42,177.8,154,70,13-Jul-42,,1964
345,"ROTH, Richard William",Men,400m individual medley,Gold,,182.88,185,84.09090909,,,1964
346,"SAARI, Roy Allen",Men,400m individual medley,Silver,,187.96,190,86.36363636,,,1964
347,"RANDALL, Martha Irene",Women,400m individual medley,Bronze,"June 12, 1948 (age 68 years)",165.1,126,57.27272727,"June 12, 1948 ",16.2301369863,1964
348,"DE VARONA, Donna Elizabeth",Women,400m individual medley,Gold,"April 26, 1947 (age 69 years)",167.64,134,60.90909091,"April 26, 1947 ",17.3616438356,1964
349,"FINNERAN, Sharon Evans",Women,400m individual medley,Silver,"February 4, 1946 (age 70 years)",160.02,110,50,"February 4, 1946 ",18.5835616438,1964
350,"MILLS, Ronald P.",Men,100m backstroke,Bronze,,,,#VALUE!,,,1968
351,"MATTHES, Roland",Men,100m backstroke,Gold,"November 17, 1950 (age 65 years)",,163,74.09090909,"November 17, 1950 ",17.8,1968
352,"HICKCOX, Charles Buchanan",Men,100m backstroke,Silver,6-Feb-47,190.5,176,80,6-Feb-47,,1968
353,"SWAGERTY, Jane Ellen",Women,100m backstroke,Bronze,"July 30, 1951 (age 65 years)",172.72,143,65,"July 30, 1951 ",17.101369863,1968
354,"HALL, Kaye Marie",Women,100m backstroke,Gold,,170.18,143,65,,,1968
355,"TANNER, Elaine",Women,100m backstroke,Silver,"February 22, 1951 (age 65 years)",160.02,134,60.90909091,"February 22, 1951 ",17.5342465753,1968
356,"PANKIN, Nikolai",Men,100m breaststroke,Bronze,"January 2, 1949 (age 67 years)",177.8,,#VALUE!,"January 2, 1949 ",19.6739726027,1968
357,"MCKENZIE, Donald Ward Jr.",Men,100m breaststroke,Gold,11-May-47,185.42,176,80,11-May-47,,1968
358,"KOSINSKY, Vladimir",Men,100m breaststroke,Silver,,,148,67.27272727,,,1968
359,"WICHMAN, Sharon Lynn",Women,100m breaststroke,Bronze,,175.26,132,60,,,1968
360,"BJEDOV, Djurdjica",Women,100m breaststroke,Gold,,170.18,,#VALUE!,,,1968
361,"PROZUMENSCHIKOVA-STEPANOVA, Galina",Women,100m breaststroke,Silver,,170.18,,#VALUE!,,,1968
362,"WALES, Ross Elliott",Men,100m butterfly,Bronze,,,165,75,,,1968
363,"RUSSELL, Douglas Albert",Men,100m butterfly,Gold,,172.72,150,68.18181818,,,1968
364,"SPITZ, Mark",Men,100m butterfly,Silver,"February 10, 1950 (age 66 years)",182.88,161,73.18181818,"February 10, 1950 ",18.5671232877,1968
365,"SHIELDS, Susanne Marie",Women,100m butterfly,Bronze,,170.18,132,60,,,1968
366,"MCCLEMENTS, Lynette",Women,100m butterfly,Gold,"May 11, 1951 (age 65 years)",177.8,146,66.36363636,"May 11, 1951 ",17.3205479452,1968
367,"DANIEL, Eleanor Suzanne",Women,100m butterfly,Silver,"June 11, 1950 (age 66 years)",172.72,143,65,"June 11, 1950 ",18.2356164384,1968
368,"SPITZ, Mark",Men,100m freestyle,Bronze,"February 10, 1950 (age 66 years)",182.88,161,73.18181818,"February 10, 1950 ",18.5671232877,1968
369,"WENDEN, Michael Vincent",Men,100m freestyle,Gold,,182.88,168,76.36363636,,,1968
370,"WALSH, Kenneth Marshall",Men,100m freestyle,Silver,"February 11, 1945 (age 71 years)",187.96,185,84.09090909,"February 11, 1945 ",23.5671232877,1968
371,"GUSTAVSON, Linda Lee",Women,100m freestyle,Bronze,"November 30, 1949 (age 66 years)",175.26,134,60.90909091,"November 30, 1949 ",18.7643835616,1968
372,"HENNE, Jane Margo",Women,100m freestyle,Gold,,,,#VALUE!,,,1968
373,"PEDERSEN, Susan Jane",Women,100m freestyle,Silver,,175.26,154,70,,,1968
374,"BROUGH, Gregory",Men,1500m freestyle,Bronze,26-Mar-51,187.96,174,79.09090909,26-Mar-51,,1968
375,"BURTON, Michael Jay",Men,1500m freestyle,Gold,"July 3, 1947 (age 69 years)",175.26,154,70,"July 3, 1947 ",21.1780821918,1968
376,"KINSELLA, John Pitann",Men,1500m freestyle,Silver,"August 26, 1952 (age 64 years)",193.04,201,91.36363636,"August 26, 1952 ",16.0246575342,1968
377,"HORSLEY, Jack S.",Men,200m backstroke,Bronze,"September 25, 1951 (age 65 years)",182.88,141,64.09090909,"September 25, 1951 ",16.9452054795,1968
378,"MATTHES, Roland",Men,200m backstroke,Gold,"November 17, 1950 (age 65 years)",,163,74.09090909,"November 17, 1950 ",17.8,1968
379,"IVEY, Mitchell",Men,200m backstroke,Silver,"September 28, 1979 (age 37 years)",,159,72.27272727,"September 28, 1979 ",,1968
380,"HALL, Kaye Marie",Women,200m backstroke,Bronze,,170.18,143,65,,,1968
381,"WATSON, Lillian Debra",Women,200m backstroke,Gold,"July 11, 1950 (age 66 years)",175.26,146,66.36363636,"July 11, 1950 ",18.1534246575,1968
382,"TANNER, Elaine",Women,200m backstroke,Silver,"February 22, 1951 (age 65 years)",160.02,134,60.90909091,"February 22, 1951 ",17.5342465753,1968
383,"JOB, Brian Gregory",Men,200m breaststroke,Bronze,"November 29, 1951 (age 64 years)",180.34,163,74.09090909,"November 29, 1951 ",16.7671232877,1968
384,"MUNOZ, Felipe",Men,200m breaststroke,Gold,"February 3, 1951 (age 65 years)",180.34,,#VALUE!,"February 3, 1951 ",17.5863013699,1968
385,"KOSINSKY, Vladimir",Men,200m breaststroke,Silver,26-Feb-45,,148,67.27272727,26-Feb-45,,1968
386,"PROZUMENSCHIKOVA-STEPANOVA, Galina",Women,200m breaststroke,Bronze,26-Nov-48,170.18,,#VALUE!,26-Nov-48,,1968
387,"WICHMAN, Sharon Lynn",Women,200m breaststroke,Gold,"May 13, 1952 (age 64 years)",175.26,132,60,"May 13, 1952 ",16.3123287671,1968
388,"BJEDOV, Djurdjica",Women,200m breaststroke,Silver,"April 5, 1947 (age 69 years)",170.18,,#VALUE!,"April 5, 1947 ",21.4219178082,1968
389,"FERRIS, John Edward",Men,200m butterfly,Bronze,"July 24, 1949 (age 67 years)",180.34,165,75,"July 24, 1949 ",19.1178082192,1968
390,"ROBIE, Carl Joseph III",Men,200m butterfly,Gold,2-May-45,177.8,161,73.18181818,2-May-45,,1968
391,"WOODROFFE, Martyn John",Men,200m butterfly,Silver,"September 8, 1950 (age 66 years)",,154,70,"September 8, 1950 ",17.9917808219,1968
392,"DANIEL, Eleanor Suzanne",Women,200m butterfly,Bronze,"June 11, 1950 (age 66 years)",172.72,143,65,"June 11, 1950 ",18.2356164384,1968
393,"KOK, Aagje Ada",Women,200m butterfly,Gold,"June 6, 1947 (age 69 years)",182.88,187,85,"June 6, 1947 ",21.2520547945,1968
394,"LINDNER, Helga",Women,200m butterfly,Silver,,170.18,146,66.36363636,,,1968
395,"NELSON, John Mauer",Men,200m freestyle,Bronze,,,146,66.36363636,,,1968
396,"WENDEN, Michael Vincent",Men,200m freestyle,Gold,,182.88,168,76.36363636,,,1968
397,"SCHOLLANDER, Donald Arthur",Men,200m freestyle,Silver,,180.34,174,79.09090909,,,1968
398,"BARKMAN, Jane Louise",Women,200m freestyle,Bronze,,170.18,134,60.90909091,,,1968
399,"MEYER, Deborah",Women,200m freestyle,Gold,,170.18,115,52.27272727,,,1968
400,"HENNE, Jane Margo",Women,200m freestyle,Silver,,,,#VALUE!,,,1968
401,"FERRIS, John Edward",Men,200m individual medley,Bronze,"July 24, 1949 (age 67 years)",180.34,165,75,"July 24, 1949 ",19.1178082192,1968
402,"HICKCOX, Charles Buchanan",Men,200m individual medley,Gold,6-Feb-47,190.5,176,80,6-Feb-47,,1968
403,"BUCKINGHAM, Gregory F.",Men,200m individual medley,Silver,29-Jul-45,,,#VALUE!,29-Jul-45,,1968
404,"HENNE, Jane Margo",Women,200m individual medley,Bronze,,,,#VALUE!,,,1968
405,"KOLB, Claudia Anne",Women,200m individual medley,Gold,"December 19, 1949 (age 66 years)",170.18,134,60.90909091,"December 19, 1949 ",18.7123287671,1968
406,"PEDERSEN, Susan Jane",Women,200m individual medley,Silver,,175.26,154,70,,,1968
407,"MOSCONI, Alain",Men,400m freestyle,Bronze,"September 9, 1949 (age 67 years)",180.34,176,80,"September 9, 1949 ",18.9890410959,1968
408,"BURTON, Michael Jay",Men,400m freestyle,Gold,"July 3, 1947 (age 69 years)",175.26,154,70,"July 3, 1947 ",21.1780821918,1968
409,"HUTTON, Ralph",Men,400m freestyle,Silver,"March 6, 1948 (age 68 years)",182.88,190,86.36363636,"March 6, 1948 ",20.501369863,1968
410,"MORAS, Karen Lynne",Women,400m freestyle,Bronze,"January 6, 1954 (age 62 years)",167.64,117,53.18181818,"January 6, 1954 ",14.6602739726,1968
411,"MEYER, Deborah",Women,400m freestyle,Gold,"August 14, 1952 (age 64 years)",170.18,115,52.27272727,"August 14, 1952 ",16.0575342466,1968
412,"GUSTAVSON, Linda Lee",Women,400m freestyle,Silver,"November 30, 1949 (age 66 years)",175.26,134,60.90909091,"November 30, 1949 ",18.7643835616,1968
413,"HOLTHAUS, Michael",Men,400m individual medley,Bronze,"July 13, 1950 (age 66 years)",,168,76.36363636,"July 13, 1950 ",18.1479452055,1968
414,"HICKCOX, Charles Buchanan",Men,400m individual medley,Gold,6-Feb-47,190.5,176,80,6-Feb-47,,1968
415,"HALL, Gary Wayne",Men,400m individual medley,Silver,,198.12,163,74.09090909,,,1968
416,"STEINBACH, Sabine",Women,400m individual medley,Bronze,"July 18, 1952 (age 64 years)",165.1,123,55.90909091,"July 18, 1952 ",16.1315068493,1968
417,"KOLB, Claudia Anne",Women,400m individual medley,Gold,"December 19, 1949 (age 66 years)",170.18,134,60.90909091,"December 19, 1949 ",18.7123287671,1968
418,"VIDALI, Lynn Marie",Women,400m individual medley,Silver,"May 26, 1952 (age 64 years)",170.18,141,64.09090909,"May 26, 1952 ",16.2767123288,1968
419,"RAMIREZ, Maria Teresa",Women,800m freestyle,Bronze,"August 15, 1954 (age 62 years)",170.18,,#VALUE!,"August 15, 1954 ",14.0547945205,1968
420,"MEYER, Deborah",Women,800m freestyle,Gold,"August 14, 1952 (age 64 years)",170.18,115,52.27272727,"August 14, 1952 ",16.0575342466,1968
421,"KRUSE, Pamela Jean",Women,800m freestyle,Silver,"June 3, 1950 (age 66 years)",165.1,130,59.09090909,"June 3, 1950 ",18.2575342466,1968
422,"MURPHY, John Joseph",Men,100m backstroke,Bronze,24-Sep-22,,194,88.18181818,24-Sep-22,,1972
423,"MATTHES, Roland",Men,100m backstroke,Gold,"November 17, 1950 (age 65 years)",,163,74.09090909,"November 17, 1950 ",21.802739726,1972
424,"STAMM, Michael Eugene",Men,100m backstroke,Silver,,190.5,179,81.36363636,,,1972
425,"ATWOOD, Susanne Jean",Women,100m backstroke,Bronze,"June 5, 1953 (age 63 years)",170.18,146,66.36363636,"June 5, 1953 ",19.2520547945,1972
426,"BELOTE, Melissa Louise",Women,100m backstroke,Gold,"October 16, 1956 (age 60 years)",170.18,132,60,"October 16, 1956 ",15.8849315068,1972
427,"GYARMATI, Andrea",Women,100m backstroke,Silver,"April 15, 1954 (age 62 years)",170.18,141,64.09090909,"April 15, 1954 ",18.3917808219,1972
428,"HENCKEN, John Frederick",Men,100m breaststroke,Bronze,"May 29, 1954 (age 62 years)",182.88,170,77.27272727,"May 29, 1954 ",18.2712328767,1972
429,"TAGUCHI, Nobutaka",Men,100m breaststroke,Gold,"June 18, 1951 (age 65 years)",172.72,150,68.18181818,"June 18, 1951 ",21.2191780822,1972
430,"BRUCE, Thomas Edwin",Men,100m breaststroke,Silver,,,161,73.18181818,,,1972
431,"WHITFIELD, Beverley Joy",Women,100m breaststroke,Bronze,15-Jun-54,162.56,126,57.27272727,15-Jun-54,,1972
432,"CARR, Catherine L.",Women,100m breaststroke,Gold,"May 27, 1954 (age 62 years)",170.18,115,52.27272727,"May 27, 1954 ",18.2767123288,1972
433,"PROZUMENSCHIKOVA-STEPANOVA, Galina",Women,100m breaststroke,Silver,26-Nov-48,170.18,,#VALUE!,26-Nov-48,,1972
434,"HEIDENREICH, Jerry Alan",Men,100m butterfly,Bronze,4-Feb-50,182.88,161,73.18181818,4-Feb-50,,1972
435,"SPITZ, Mark",Men,100m butterfly,Gold,"February 10, 1950 (age 66 years)",182.88,161,73.18181818,"February 10, 1950 ",22.5698630137,1972
436,"ROBERTSON, Bruce Richard",Men,100m butterfly,Silver,,177.8,154,70,,,1972
437,"GYARMATI, Andrea",Women,100m butterfly,Bronze,"April 15, 1954 (age 62 years)",170.18,141,64.09090909,"April 15, 1954 ",18.3917808219,1972
438,"AOKI, Mayumi",Women,100m butterfly,Gold,"May 1, 1953 (age 63 years)",165.1,139,63.18181818,"May 1, 1953 ",19.3479452055,1972
439,"BEIER, Roswitha",Women,100m butterfly,Silver,"December 22, 1956 (age 59 years)",160.02,115,52.27272727,"December 22, 1956 ",15.701369863,1972
440,"BURE, Vladimir",Men,100m freestyle,Bronze,"December 4, 1950 (age 65 years)",180.34,190,86.36363636,"December 4, 1950 ",21.7561643836,1972
441,"SPITZ, Mark",Men,100m freestyle,Gold,"February 10, 1950 (age 66 years)",182.88,161,73.18181818,"February 10, 1950 ",22.5698630137,1972
442,"HEIDENREICH, Jerry Alan",Men,100m freestyle,Silver,4-Feb-50,182.88,161,73.18181818,4-Feb-50,,1972
443,"GOULD, Shane",Women,100m freestyle,Bronze,,170.18,130,59.09090909,,,1972
444,"NEILSON, Alexandra Lynn",Women,100m freestyle,Gold,,,139,63.18181818,,,1972
445,"BABASHOFF, Shirley Farber",Women,100m freestyle,Silver,,,,#VALUE!,,,1972
