,Unnamed: 0,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal,DOB,height,age,weight_lbs,weight_kg,distance,stroke
161,161,Los Angeles,1932,Aquatics,Swimming,"MAAKAL, Jenny",RSA,Women,400m freestyle,W,Bronze,,,,,#VALUE!,400m,Freestyle
162,162,Los Angeles,1932,Aquatics,Swimming,"MADISON, Helene",USA,Women,400m freestyle,W,Gold,,,,,#VALUE!,400m,Freestyle
163,163,Los Angeles,1932,Aquatics,Swimming,"KIGHT-WINGARD, Lenore",USA,Women,400m freestyle,W,Silver,,,,,#VALUE!,400m,Freestyle
164,164,Berlin,1936,Aquatics,Swimming,"KIYOKAWA, Masaji",JPN,Men,100m backstroke,M,Bronze,,,,,#VALUE!,100m,Backstroke
165,165,Berlin,1936,Aquatics,Swimming,"KIEFER, Adolph Gustav",USA,Men,100m backstroke,M,Gold,,,,,#VALUE!,100m,Backstroke
166,166,Berlin,1936,Aquatics,Swimming,"VAN DE WEGHE, Albert",USA,Men,100m backstroke,M,Silver,,,,,#VALUE!,100m,Backstroke
167,167,Berlin,1936,Aquatics,Swimming,"BRIDGES, Alice W.",USA,Women,100m backstroke,W,Bronze,,,,,#VALUE!,100m,Backstroke
168,168,Berlin,1936,Aquatics,Swimming,"SENFF, Dina Willemina Jacoba",NED,Women,100m backstroke,W,Gold,3-Apr-20,,16.0,,#VALUE!,100m,Backstroke
169,169,Berlin,1936,Aquatics,Swimming,"MASTENBROEK, Hendrika",NED,Women,100m backstroke,W,Silver,26-Feb-19,,17.0,,#VALUE!,100m,Backstroke
170,170,Berlin,1936,Aquatics,Swimming,"ARAI, Shigeo",JPN,Men,100m freestyle,M,Bronze,8-Aug-16,,20.0,,#VALUE!,100m,Freestyle
171,171,Berlin,1936,Aquatics,Swimming,"CSIK, Ferenc",HUN,Men,100m freestyle,M,Gold,12-Dec-13,,22.0,,#VALUE!,100m,Freestyle
172,172,Berlin,1936,Aquatics,Swimming,"YUSA, Masanori",JPN,Men,100m freestyle,M,Silver,8-Jan-15,,21.0,,#VALUE!,100m,Freestyle
173,173,Berlin,1936,Aquatics,Swimming,"ARENDT-JACOBS, Gisela",GER,Women,100m freestyle,W,Bronze,,,,,#VALUE!,100m,Freestyle
174,174,Berlin,1936,Aquatics,Swimming,"MASTENBROEK, Hendrika",NED,Women,100m freestyle,W,Gold,26-Feb-19,,17.0,,#VALUE!,100m,Freestyle
175,175,Berlin,1936,Aquatics,Swimming,"CAMPBELL, Jeanette Morven",ARG,Women,100m freestyle,W,Silver,8-Mar-16,,20.0,,#VALUE!,100m,Freestyle
176,176,Berlin,1936,Aquatics,Swimming,"UTO, Shunpei",JPN,Men,1500m freestyle,M,Bronze,"December 1, 1918 (age 97 years)",,,,#VALUE!,1500m,Freestyle
177,177,Berlin,1936,Aquatics,Swimming,"TERADA, Noboru",JPN,Men,1500m freestyle,M,Gold,25-Nov-17,,18.0,,#VALUE!,1500m,Freestyle
178,178,Berlin,1936,Aquatics,Swimming,"MEDICA, Jack C.",USA,Men,1500m freestyle,M,Silver,,,,,#VALUE!,1500m,Freestyle
179,179,Berlin,1936,Aquatics,Swimming,"KOIKE, Reizo",JPN,Men,200m breaststroke,M,Bronze,12-Dec-15,,20.0,,#VALUE!,200m,Breaststroke
180,180,Berlin,1936,Aquatics,Swimming,"HAMURO, Tetsuo",JPN,Men,200m breaststroke,M,Gold,7-Sep-17,,18.0,,#VALUE!,200m,Breaststroke
181,181,Berlin,1936,Aquatics,Swimming,"SIETAS, Erwin",GER,Men,200m breaststroke,M,Silver,24-Jul-10,,26.0,,#VALUE!,200m,Breaststroke
182,182,Berlin,1936,Aquatics,Swimming,"SÉRENSEN, Inge",DEN,Women,200m breaststroke,W,Bronze,,,,,#VALUE!,200m,Breaststroke
183,183,Berlin,1936,Aquatics,Swimming,"MAEHATA, Hideko",JPN,Women,200m breaststroke,W,Gold,20-May-14,,22.0,,#VALUE!,200m,Breaststroke
184,184,Berlin,1936,Aquatics,Swimming,"GENENGER, Martha",GER,Women,200m breaststroke,W,Silver,11-Nov-11,,24.0,,#VALUE!,200m,Breaststroke
185,185,Berlin,1936,Aquatics,Swimming,"MAKINO, Shozo",JPN,Men,400m freestyle,M,Bronze,"September 22, 1878",154.94,57.0,119,54.09090909,400m,Freestyle
186,186,Berlin,1936,Aquatics,Swimming,"MEDICA, Jack C.",USA,Men,400m freestyle,M,Gold,,,,,#VALUE!,400m,Freestyle
187,187,Berlin,1936,Aquatics,Swimming,"UTO, Shunpei",JPN,Men,400m freestyle,M,Silver,"December 1, 1918 (age 97 years)",,,,#VALUE!,400m,Freestyle
188,188,Berlin,1936,Aquatics,Swimming,"KIGHT-WINGARD, Lenore",USA,Women,400m freestyle,W,Bronze,26-Sep-11,,24.0,,#VALUE!,400m,Freestyle
189,189,Berlin,1936,Aquatics,Swimming,"MASTENBROEK, Hendrika",NED,Women,400m freestyle,W,Gold,26-Feb-19,,17.0,,#VALUE!,400m,Freestyle
190,190,Berlin,1936,Aquatics,Swimming,"HVEGER, Ragnild Tove",DEN,Women,400m freestyle,W,Silver,10-Dec-20,,15.0,,#VALUE!,400m,Freestyle
191,191,London,1948,Aquatics,Swimming,"VALLEREY JR., Georges",FRA,Men,100m backstroke,M,Bronze,21-Oct-27,,20.0,,#VALUE!,100m,Backstroke
192,192,London,1948,Aquatics,Swimming,"STACK, Allen Mcintyre",USA,Men,100m backstroke,M,Gold,23-Jan-28,,20.0,,#VALUE!,100m,Backstroke
193,193,London,1948,Aquatics,Swimming,"COWELL, Robert Elmer",USA,Men,100m backstroke,M,Silver,,193.04,,,#VALUE!,100m,Backstroke
194,194,London,1948,Aquatics,Swimming,"DAVIES, Judith Joy",AUS,Women,100m backstroke,W,Bronze,5-Jun-28,,20.0,,#VALUE!,100m,Backstroke
195,195,London,1948,Aquatics,Swimming,"HARUP, Karen Margrethe",DEN,Women,100m backstroke,W,Gold,20-Nov-24,,23.0,,#VALUE!,100m,Backstroke
196,196,London,1948,Aquatics,Swimming,"ZIMMERMAN, Suzanne Winona",USA,Women,100m backstroke,W,Silver,"July 13, 1925 (age 91 years)",,,,#VALUE!,100m,Backstroke
197,197,London,1948,Aquatics,Swimming,"KADAS, Geza",HUN,Men,100m freestyle,M,Bronze,7-Aug-26,,22.0,,#VALUE!,100m,Freestyle
198,198,London,1948,Aquatics,Swimming,"RIS, Walter Stephen",USA,Men,100m freestyle,M,Gold,,,,,#VALUE!,100m,Freestyle
199,199,London,1948,Aquatics,Swimming,"FORD, Alan Robert",USA,Men,100m freestyle,M,Silver,,,,170,77.27272727,100m,Freestyle
200,200,London,1948,Aquatics,Swimming,"LINSSEN-VAESSEN, Marie-Louise Jean",NED,Women,100m freestyle,W,Bronze,19-Mar-28,,20.0,,#VALUE!,100m,Freestyle
201,201,London,1948,Aquatics,Swimming,"ANDERSEN, Greta Marie",DEN,Women,100m freestyle,W,Gold,"May 1, 1927 (age 89 years)",175.26,,,#VALUE!,100m,Freestyle
202,202,London,1948,Aquatics,Swimming,"CURTIS, Ann Elisabeth",USA,Women,100m freestyle,W,Silver,6-Mar-26,180.34,22.0,,#VALUE!,100m,Freestyle
203,203,London,1948,Aquatics,Swimming,"MITRO, Gy_rgy",HUN,Men,1500m freestyle,M,Bronze,,,,,#VALUE!,1500m,Freestyle
204,204,London,1948,Aquatics,Swimming,"MCLANE, James Price Jr.",USA,Men,1500m freestyle,M,Gold,"September 13, 1930 (age 86 years)",,,,#VALUE!,1500m,Freestyle
205,205,London,1948,Aquatics,Swimming,"MARSHALL, John Birnie",AUS,Men,1500m freestyle,M,Silver,29-Mar-30,,18.0,,#VALUE!,1500m,Freestyle
206,206,London,1948,Aquatics,Swimming,"SOHL, Robert Raymond",USA,Men,200m breaststroke,M,Bronze,28-Mar-28,,20.0,,#VALUE!,200m,Breaststroke
207,207,London,1948,Aquatics,Swimming,"VERDEUR, Joseph Thomas",USA,Men,200m breaststroke,M,Gold,7-Mar-26,,22.0,,#VALUE!,200m,Breaststroke
208,208,London,1948,Aquatics,Swimming,"CARTER, Keith Eyre",USA,Men,200m breaststroke,M,Silver,30-Aug-24,,24.0,,#VALUE!,200m,Breaststroke
209,209,London,1948,Aquatics,Swimming,"NOVAK-GERARD, Eva",HUN,Women,200m breaststroke,W,Bronze,,,,,#VALUE!,200m,Breaststroke
210,210,London,1948,Aquatics,Swimming,"VAN VLIET, Petronella (Nel)",NED,Women,200m breaststroke,W,Gold,,,,,#VALUE!,200m,Breaststroke
211,211,London,1948,Aquatics,Swimming,"LYONS, Beatrice Nancy",AUS,Women,200m breaststroke,W,Silver,"April 12, 1930 (age 86 years)",,,,#VALUE!,200m,Breaststroke
212,212,London,1948,Aquatics,Swimming,"MARSHALL, John Birnie",AUS,Men,400m freestyle,M,Bronze,29-Mar-30,,18.0,,#VALUE!,400m,Freestyle
213,213,London,1948,Aquatics,Swimming,"SMITH, William M. Jr.",USA,Men,400m freestyle,M,Gold,,,,,#VALUE!,400m,Freestyle
214,214,London,1948,Aquatics,Swimming,"MCLANE, James Price Jr.",USA,Men,400m freestyle,M,Silver,"September 13, 1930 (age 86 years)",,,,#VALUE!,400m,Freestyle
215,215,London,1948,Aquatics,Swimming,"GIBSON, Catherine",GBR,Women,400m freestyle,W,Bronze,21-Mar-31,,17.0,,#VALUE!,400m,Freestyle
216,216,London,1948,Aquatics,Swimming,"CURTIS, Ann Elisabeth",USA,Women,400m freestyle,W,Gold,6-Mar-26,180.34,22.0,,#VALUE!,400m,Freestyle
217,217,London,1948,Aquatics,Swimming,"HARUP, Karen Margrethe",DEN,Women,400m freestyle,W,Silver,20-Nov-24,,23.0,,#VALUE!,400m,Freestyle
218,218,Helsinki,1952,Aquatics,Swimming,"TAYLOR, Jack George Neil",USA,Men,100m backstroke,M,Bronze,31-Jan-31,,21.0,,#VALUE!,100m,Backstroke
219,219,Helsinki,1952,Aquatics,Swimming,"OYAKAWA, Yoshinobu",USA,Men,100m backstroke,M,Gold,"August 9, 1933 (age 83 years)",170.18,,154,70,100m,Backstroke
220,220,Helsinki,1952,Aquatics,Swimming,"BOZON, Gilbert",FRA,Men,100m backstroke,M,Silver,19-Mar-35,,17.0,,#VALUE!,100m,Backstroke
221,221,Helsinki,1952,Aquatics,Swimming,"STEWART, Jean",NZL,Women,100m backstroke,W,Bronze,"December 23, 1930 (age 85 years)",,,,#VALUE!,100m,Backstroke
222,222,Helsinki,1952,Aquatics,Swimming,"HARRISON, Joan Cynthia",RSA,Women,100m backstroke,W,Gold,,,,,#VALUE!,100m,Backstroke
223,223,Helsinki,1952,Aquatics,Swimming,"WIELEMA, Geertje",NED,Women,100m backstroke,W,Silver,24-Jul-34,,18.0,,#VALUE!,100m,Backstroke
224,224,Helsinki,1952,Aquatics,Swimming,"LARSSON, G_ran",SWE,Men,100m freestyle,M,Bronze,,,,,#VALUE!,100m,Freestyle
225,225,Helsinki,1952,Aquatics,Swimming,"SCHOLES, Clark Currie",USA,Men,100m freestyle,M,Gold,25-Nov-30,190.5,21.0,174,79.09090909,100m,Freestyle
226,226,Helsinki,1952,Aquatics,Swimming,"SUZUKI, Hiroshi",JPN,Men,100m freestyle,M,Silver,"December 13, 1973 (age 42 years)",,,,#VALUE!,100m,Freestyle
227,227,Helsinki,1952,Aquatics,Swimming,"TEMES, Judith",HUN,Women,100m freestyle,W,Bronze,,,,,#VALUE!,100m,Freestyle
228,228,Helsinki,1952,Aquatics,Swimming,"SZÉKE, Katalin",HUN,Women,100m freestyle,W,Gold,,,,,#VALUE!,100m,Freestyle
229,229,Helsinki,1952,Aquatics,Swimming,"TERMEULEN, Johanna Maria",NED,Women,100m freestyle,W,Silver,18-Feb-29,,23.0,,#VALUE!,100m,Freestyle
230,230,Helsinki,1952,Aquatics,Swimming,"OKAMOTO, Tetsuo",BRA,Men,1500m freestyle,M,Bronze,20-Mar-32,,20.0,,#VALUE!,1500m,Freestyle
231,231,Helsinki,1952,Aquatics,Swimming,"KONNO, Ford Hiroshi",USA,Men,1500m freestyle,M,Gold,,,,150,68.18181818,1500m,Freestyle
232,232,Helsinki,1952,Aquatics,Swimming,"HASHIZUME, Shiro",JPN,Men,1500m freestyle,M,Silver,1928,182.88,24.0,161,73.18181818,1500m,Freestyle
233,233,Helsinki,1952,Aquatics,Swimming,"KLEIN, Herbert",GER,Men,200m breaststroke,M,Bronze,"January 6, 1936 (age 80 years)",,,,#VALUE!,200m,Breaststroke
234,234,Helsinki,1952,Aquatics,Swimming,"DAVIES, John Griffith",AUS,Men,200m breaststroke,M,Gold,,,,,#VALUE!,200m,Breaststroke
235,235,Helsinki,1952,Aquatics,Swimming,"STASSFORTH, Bowen Dow",USA,Men,200m breaststroke,M,Silver,"August 7, 1926 (age 90 years)",,,,#VALUE!,200m,Breaststroke
236,236,Helsinki,1952,Aquatics,Swimming,"GORDON-MCKAY, Helen Orr",GBR,Women,200m breaststroke,W,Bronze,,,,,#VALUE!,200m,Breaststroke
237,237,Helsinki,1952,Aquatics,Swimming,"SZEKELY, Eva",HUN,Women,200m breaststroke,W,Gold,"April 3, 1927 (age 89 years)",,,,#VALUE!,200m,Breaststroke
238,238,Helsinki,1952,Aquatics,Swimming,"NOVAK-GERARD, Eva",HUN,Women,200m breaststroke,W,Silver,,,,,#VALUE!,200m,Breaststroke
239,239,Helsinki,1952,Aquatics,Swimming,"ÉSTRAND, Per-Olof",SWE,Men,400m freestyle,M,Bronze,,,,,#VALUE!,400m,Freestyle
240,240,Helsinki,1952,Aquatics,Swimming,"BOITEUX, Jean",FRA,Men,400m freestyle,M,Gold,20-Jun-33,185.42,19.0,183,83.18181818,400m,Freestyle
241,241,Helsinki,1952,Aquatics,Swimming,"KONNO, Ford Hiroshi",USA,Men,400m freestyle,M,Silver,,,,150,68.18181818,400m,Freestyle
242,242,Helsinki,1952,Aquatics,Swimming,"KAWAMOTO, Evelyn Tokue",USA,Women,400m freestyle,W,Bronze,"September 17, 1933 (age 83 years)",,,,#VALUE!,400m,Freestyle
243,243,Helsinki,1952,Aquatics,Swimming,"GYENGE, Valeria",HUN,Women,400m freestyle,W,Gold,"April 3, 1933 (age 83 years)",,,,#VALUE!,400m,Freestyle
244,244,Helsinki,1952,Aquatics,Swimming,"NOVAK-GERARD, Eva",HUN,Women,400m freestyle,W,Silver,,,,,#VALUE!,400m,Freestyle
245,245,Melbourne / Stockholm,1956,Aquatics,Swimming,"MCKINNEY, Frank Edward Jr.",USA,Men,100m backstroke,M,Bronze,3-Nov-38,182.88,17.0,163,74.09090909,100m,Backstroke
246,246,Melbourne / Stockholm,1956,Aquatics,Swimming,"THEILE, David Egmont",AUS,Men,100m backstroke,M,Gold,"January 17, 1938 (age 78 years)",190.5,,,#VALUE!,100m,Backstroke
247,247,Melbourne / Stockholm,1956,Aquatics,Swimming,"MONCKTON, John James",AUS,Men,100m backstroke,M,Silver,"October 28, 1938 (age 78 years)",193.04,,183,83.18181818,100m,Backstroke
248,248,Melbourne / Stockholm,1956,Aquatics,Swimming,"EDWARDS, Margaret",GBR,Women,100m backstroke,W,Bronze,23-Oct-02,,53.0,119,54.09090909,100m,Backstroke
249,249,Melbourne / Stockholm,1956,Aquatics,Swimming,"GRINHAM, Judith Brenda",GBR,Women,100m backstroke,W,Gold,"March 5, 1939 (age 77 years)",,,,#VALUE!,100m,Backstroke
250,250,Melbourne / Stockholm,1956,Aquatics,Swimming,"CONE, Carin Alice",USA,Women,100m backstroke,W,Silver,"April 18, 1940 (age 76 years)",167.64,,130,59.09090909,100m,Backstroke
251,251,Melbourne / Stockholm,1956,Aquatics,Swimming,"SEARS, Mary Jane",USA,Women,100m butterfly,W,Bronze,,,,130,59.09090909,100m,Butterfly
252,252,Melbourne / Stockholm,1956,Aquatics,Swimming,"MANN, Shelley Isabel",USA,Women,100m butterfly,W,Gold,,172.72,,134,60.90909091,100m,Butterfly
253,253,Melbourne / Stockholm,1956,Aquatics,Swimming,"RAMEY, Nancy Jane",USA,Women,100m butterfly,W,Silver,,175.26,,112,50.90909091,100m,Butterfly
254,254,Melbourne / Stockholm,1956,Aquatics,Swimming,"CHAPMAN, Gary",AUS,Men,100m freestyle,M,Bronze,"January 10, 1938 (age 78 years)",,,,#VALUE!,100m,Freestyle
255,255,Melbourne / Stockholm,1956,Aquatics,Swimming,"HENRICKS, Jon Malcolm",AUS,Men,100m freestyle,M,Gold,"June 6, 1935 (age 81 years)",182.88,,172,78.18181818,100m,Freestyle
256,256,Melbourne / Stockholm,1956,Aquatics,Swimming,"DEVITT, John",AUS,Men,100m freestyle,M,Silver,,185.42,,187,85,100m,Freestyle
257,257,Melbourne / Stockholm,1956,Aquatics,Swimming,"LEECH, Faith Yvonne",AUS,Women,100m freestyle,W,Bronze,,177.8,,,#VALUE!,100m,Freestyle
258,258,Melbourne / Stockholm,1956,Aquatics,Swimming,"FRASER, Dawn",AUS,Women,100m freestyle,W,Gold,"September 4, 1937 (age 79 years)",172.72,,148,67.27272727,100m,Freestyle
259,259,Melbourne / Stockholm,1956,Aquatics,Swimming,"CRAPP, Lorraine Joyce",AUS,Women,100m freestyle,W,Silver,"October 1, 1938 (age 78 years)",167.64,,,#VALUE!,100m,Freestyle
260,260,Melbourne / Stockholm,1956,Aquatics,Swimming,"BREEN, George Thomas",USA,Men,1500m freestyle,M,Bronze,"July 19, 1935 (age 81 years)",182.88,,183,83.18181818,1500m,Freestyle
261,261,Melbourne / Stockholm,1956,Aquatics,Swimming,"ROSE, Murray",AUS,Men,1500m freestyle,M,Gold,6-Jan-39,185.42,17.0,176,80,1500m,Freestyle
262,262,Melbourne / Stockholm,1956,Aquatics,Swimming,"YAMANAKA, Tsuyoshi",JPN,Men,1500m freestyle,M,Silver,"January 18, 1939 (age 77 years)",170.18,,165,75,1500m,Freestyle
263,263,Melbourne / Stockholm,1956,Aquatics,Swimming,"YUNICHEV, Kharis",URS,Men,200m breaststroke,M,Bronze,7-Aug-31,,25.0,,#VALUE!,200m,Breaststroke
264,264,Melbourne / Stockholm,1956,Aquatics,Swimming,"FURUKAWA, Masaru",JPN,Men,200m breaststroke,M,Gold,6-Jan-36,,20.0,,#VALUE!,200m,Breaststroke
265,265,Melbourne / Stockholm,1956,Aquatics,Swimming,"YOSHIMURA, Masahiro",JPN,Men,200m breaststroke,M,Silver,28-Oct-36,,19.0,,#VALUE!,200m,Breaststroke
266,266,Melbourne / Stockholm,1956,Aquatics,Swimming,"TEN ELSEN, Eva-Maria",EUA,Women,200m breaststroke,W,Bronze,"September 14, 1937 (age 79 years)",,,,#VALUE!,200m,Breaststroke
267,267,Melbourne / Stockholm,1956,Aquatics,Swimming,"HAPPE-KREY, Ursula",EUA,Women,200m breaststroke,W,Gold,"October 20, 1926 (age 90 years)",,,,#VALUE!,200m,Breaststroke
268,268,Melbourne / Stockholm,1956,Aquatics,Swimming,"SZEKELY, Eva",HUN,Women,200m breaststroke,W,Silver,"April 3, 1927 (age 89 years)",,,,#VALUE!,200m,Breaststroke
269,269,Melbourne / Stockholm,1956,Aquatics,Swimming,"TUMPEK, Gy_rgy",HUN,Men,200m butterfly,M,Bronze,,,,,#VALUE!,200m,Butterfly
270,270,Melbourne / Stockholm,1956,Aquatics,Swimming,"YORZYK, William Albert Jr.",USA,Men,200m butterfly,M,Gold,"May 29, 1933 (age 83 years)",177.8,,163,74.09090909,200m,Butterfly
271,271,Melbourne / Stockholm,1956,Aquatics,Swimming,"ISHIMOTO, Takashi",JPN,Men,200m butterfly,M,Silver,,,,,#VALUE!,200m,Butterfly
272,272,Melbourne / Stockholm,1956,Aquatics,Swimming,"BREEN, George Thomas",USA,Men,400m freestyle,M,Bronze,,182.88,,183,83.18181818,400m,Freestyle
273,273,Melbourne / Stockholm,1956,Aquatics,Swimming,"ROSE, Murray",AUS,Men,400m freestyle,M,Gold,,185.42,,176,80,400m,Freestyle
274,274,Melbourne / Stockholm,1956,Aquatics,Swimming,"YAMANAKA, Tsuyoshi",JPN,Men,400m freestyle,M,Silver,,170.18,,165,75,400m,Freestyle
275,275,Melbourne / Stockholm,1956,Aquatics,Swimming,"RUUSKA, Sylvia Eliina",USA,Women,400m freestyle,W,Bronze,,172.72,,139,63.18181818,400m,Freestyle
276,276,Melbourne / Stockholm,1956,Aquatics,Swimming,"CRAPP, Lorraine Joyce",AUS,Women,400m freestyle,W,Gold,,167.64,,,#VALUE!,400m,Freestyle
277,277,Melbourne / Stockholm,1956,Aquatics,Swimming,"FRASER, Dawn",AUS,Women,400m freestyle,W,Silver,,172.72,,148,67.27272727,400m,Freestyle
278,278,Rome,1960,Aquatics,Swimming,"BENNETT, Robert Earl",USA,Men,100m backstroke,M,Bronze,,182.88,,172,78.18181818,100m,Backstroke
279,279,Rome,1960,Aquatics,Swimming,"THEILE, David Egmont",AUS,Men,100m backstroke,M,Gold,"January 17, 1938 (age 78 years)",190.5,,,#VALUE!,100m,Backstroke
280,280,Rome,1960,Aquatics,Swimming,"MCKINNEY, Frank Edward Jr.",USA,Men,100m backstroke,M,Silver,3-Nov-38,182.88,21.0,163,74.09090909,100m,Backstroke
281,281,Rome,1960,Aquatics,Swimming,"TANAKA, Satoko",JPN,Women,100m backstroke,W,Bronze,"February 3, 1942 (age 74 years)",157.48,,130,59.09090909,100m,Backstroke
282,282,Rome,1960,Aquatics,Swimming,"BURKE, Lynn Edythe",USA,Women,100m backstroke,W,Gold,"March 22, 1943 (age 73 years)",172.72,,134,60.90909091,100m,Backstroke
283,283,Rome,1960,Aquatics,Swimming,"STEWARD, Natalie Alwyne",GBR,Women,100m backstroke,W,Silver,"April 30, 1943 (age 73 years)",,,154,70,100m,Backstroke
284,284,Rome,1960,Aquatics,Swimming,"ANDREW, Janice",AUS,Women,100m butterfly,W,Bronze,"January 5, 1943 (age 73 years)",162.56,,119,54.09090909,100m,Butterfly
285,285,Rome,1960,Aquatics,Swimming,"SCHULER, Carolyn Jane",USA,Women,100m butterfly,W,Gold,"January 5, 1943 (age 73 years)",167.64,,139,63.18181818,100m,Butterfly
286,286,Rome,1960,Aquatics,Swimming,"HEEMSKERK, Marianne Yvonne",NED,Women,100m butterfly,W,Silver,"August 28, 1944 (age 72 years)",,,121,55,100m,Butterfly
287,287,Rome,1960,Aquatics,Swimming,"DOS SANTOS, Manoel",BRA,Men,100m freestyle,M,Bronze,"July 23, 1988 (age 28 years)",,,139,63.18181818,100m,Freestyle
288,288,Rome,1960,Aquatics,Swimming,"DEVITT, John",AUS,Men,100m freestyle,M,Gold,,185.42,,187,85,100m,Freestyle
289,289,Rome,1960,Aquatics,Swimming,"LARSON, Lance Melvin",USA,Men,100m freestyle,M,Silver,"July 3, 1940 (age 76 years)",185.42,,174,79.09090909,100m,Freestyle
290,290,Rome,1960,Aquatics,Swimming,"STEWARD, Natalie Alwyne",GBR,Women,100m freestyle,W,Bronze,"April 30, 1943 (age 73 years)",,,154,70,100m,Freestyle
291,291,Rome,1960,Aquatics,Swimming,"FRASER, Dawn",AUS,Women,100m freestyle,W,Gold,"September 4, 1937 (age 79 years)",172.72,,148,67.27272727,100m,Freestyle
292,292,Rome,1960,Aquatics,Swimming,"VON SALTZA, Susan Christina",USA,Women,100m freestyle,W,Silver,"January 13, 1944 (age 72 years)",,,139,63.18181818,100m,Freestyle
293,293,Rome,1960,Aquatics,Swimming,"BREEN, George Thomas",USA,Men,1500m freestyle,M,Bronze,"July 19, 1935 (age 81 years)",182.88,,183,83.18181818,1500m,Freestyle
294,294,Rome,1960,Aquatics,Swimming,"KONRADS, John (Jon)",AUS,Men,1500m freestyle,M,Gold,"May 21, 1942 (age 74 years)",177.8,,,#VALUE!,1500m,Freestyle
295,295,Rome,1960,Aquatics,Swimming,"ROSE, Murray",AUS,Men,1500m freestyle,M,Silver,6-Jan-39,185.42,21.0,176,80,1500m,Freestyle
296,296,Rome,1960,Aquatics,Swimming,"MENSONIDES, Wieger Emile",NED,Men,200m breaststroke,M,Bronze,"July 12, 1938 (age 78 years)",177.8,,179,81.36363636,200m,Breaststroke
297,297,Rome,1960,Aquatics,Swimming,"MULLIKEN, William Danforth",USA,Men,200m breaststroke,M,Gold,27-Aug-39,187.96,21.0,183,83.18181818,200m,Breaststroke
298,298,Rome,1960,Aquatics,Swimming,"OSAKI, Yoshihiko",JPN,Men,200m breaststroke,M,Silver,27-Feb-39,175.26,21.0,150,68.18181818,200m,Breaststroke
299,299,Rome,1960,Aquatics,Swimming,"GÉBEL, Barbara",EUA,Women,200m breaststroke,W,Bronze,,,,,#VALUE!,200m,Breaststroke
300,300,Rome,1960,Aquatics,Swimming,"LONSBROUGH, Anita",GBR,Women,200m breaststroke,W,Gold,"August 10, 1941 (age 75 years)",,,154,70,200m,Breaststroke
301,301,Rome,1960,Aquatics,Swimming,"URSELMANN, Wiltrud",EUA,Women,200m breaststroke,W,Silver,"May 12, 1942 (age 74 years)",175.26,,161,73.18181818,200m,Breaststroke
302,302,Rome,1960,Aquatics,Swimming,"GILLANDERS, John David",USA,Men,200m butterfly,M,Bronze,,180.34,,154,70,200m,Butterfly
303,303,Rome,1960,Aquatics,Swimming,"TROY, Michael Francis",USA,Men,200m butterfly,M,Gold,"October 3, 1940 (age 76 years)",185.42,,170,77.27272727,200m,Butterfly
304,304,Rome,1960,Aquatics,Swimming,"HAYES, Neville",AUS,Men,200m butterfly,M,Silver,"December 2, 1943 (age 72 years)",182.88,,176,80,200m,Butterfly
305,305,Rome,1960,Aquatics,Swimming,"KONRADS, John (Jon)",AUS,Men,400m freestyle,M,Bronze,"May 21, 1942 (age 74 years)",177.8,,,#VALUE!,400m,Freestyle
306,306,Rome,1960,Aquatics,Swimming,"ROSE, Murray",AUS,Men,400m freestyle,M,Gold,6-Jan-39,185.42,21.0,176,80,400m,Freestyle
307,307,Rome,1960,Aquatics,Swimming,"YAMANAKA, Tsuyoshi",JPN,Men,400m freestyle,M,Silver,"January 18, 1939 (age 77 years)",170.18,,165,75,400m,Freestyle
308,308,Rome,1960,Aquatics,Swimming,"LAGERBERG, Catharina (Tineke)",NED,Women,400m freestyle,W,Bronze,"January 30, 1941 (age 75 years)",149.86,,,#VALUE!,400m,Freestyle
309,309,Rome,1960,Aquatics,Swimming,"VON SALTZA, Susan Christina",USA,Women,400m freestyle,W,Gold,"January 13, 1944 (age 72 years)",,,139,63.18181818,400m,Freestyle
310,310,Rome,1960,Aquatics,Swimming,"CEDERQVIST, Jane",SWE,Women,400m freestyle,W,Silver,"July 1, 1945 (age 71 years)",172.72,,146,66.36363636,400m,Freestyle
311,311,Tokyo,1964,Aquatics,Swimming,"DUENKEL, Virginia Ruth",USA,Women,100m backstroke,W,Bronze,"March 7, 1947 (age 69 years)",170.18,,134,60.90909091,100m,Backstroke
312,312,Tokyo,1964,Aquatics,Swimming,"FERGUSON, Kathleen Jean",USA,Women,100m backstroke,W,Gold,,,,,#VALUE!,100m,Backstroke
313,313,Tokyo,1964,Aquatics,Swimming,"CARON, Christine (Kiki)",FRA,Women,100m backstroke,W,Silver,,,,,#VALUE!,100m,Backstroke
314,314,Tokyo,1964,Aquatics,Swimming,"ELLIS, Kathleen",USA,Women,100m butterfly,W,Bronze,,,,130,59.09090909,100m,Butterfly
315,315,Tokyo,1964,Aquatics,Swimming,"STOUDER, Sharon Marie",USA,Women,100m butterfly,W,Gold,,172.72,,134,60.90909091,100m,Butterfly
316,316,Tokyo,1964,Aquatics,Swimming,"KOK, Aagje Ada",NED,Women,100m butterfly,W,Silver,"June 6, 1947 (age 69 years)",182.88,,187,85,100m,Butterfly
317,317,Tokyo,1964,Aquatics,Swimming,"KLEIN, Hans-Joachim",EUA,Men,100m freestyle,M,Bronze,"December 21, 1947 (age 68 years)",,,176,80,100m,Freestyle
