,Year,Event,Athlete,Gender,DOB,height,DOB1,Medal,Age
216,1986,1500 metre freestyle,Stefano Battistelli,Men,"March 6, 1970 (age 46 years)",175.26,"March 6, 1970",Silver,16.501369863
217,1986,1500 metre freestyle,Dan Jorgensen,Men,"June 12, 1975 (age 41 years)",190.5,"June 12, 1975",Bronze,
218,1991,1500 metre freestyle,Jrg Hoffmann,Men,,,N,Gold,
219,1991,1500 metre freestyle,Kieren Perkins,Men,"August 14, 1973 (age 43 years)",193.04,"August 14, 1973",Silver,18.0602739726
220,1991,1500 metre freestyle,Stefan Pfeiffer,Men,"November 15, 1965 (age 51 years)",190.5,"November 15, 1965",Bronze,25.8109589041
221,1994,1500 metre freestyle,Kieren Perkins,Men,"August 14, 1973 (age 43 years)",193.04,"August 14, 1973",Gold,21.0630136986
222,1994,1500 metre freestyle,Daniel Kowalski,Men,"July 2, 1975 (age 41 years)",180.34,"July 2, 1975",Silver,19.1808219178
223,1994,1500 metre freestyle,Steffen Zesner,Men,"September 28, 1967 (age 49 years)",185.42,"September 28, 1967",Bronze,26.9452054795
224,1998,1500 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Gold,18.3260273973
225,1998,1500 metre freestyle,Emiliano Brembilla,Men,"December 21, 1978 (age 37 years)",185.42,"December 21, 1978",Silver,19.7095890411
226,1998,1500 metre freestyle,Daniel Kowalski,Men,"July 2, 1975 (age 41 years)",180.34,"July 2, 1975",Bronze,23.1835616438
227,2001,1500 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Gold,21.3287671233
228,2001,1500 metre freestyle,Graeme Smith,Men,"February 1, 1981 (age 35 years)",190.5,"February 1, 1981",Silver,20.5945205479
229,2001,1500 metre freestyle,Alexei Filipets,Men,"August 18, 1978 (age 38 years)",177.8,"August 18, 1978",Bronze,23.0547945205
230,2003,1500 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Gold,23.3287671233
231,2003,1500 metre freestyle,Igor Chervynskyi,Men,"December 16, 1981 (age 34 years)",180.34,"December 16, 1981",Silver,21.7232876712
232,2003,1500 metre freestyle,Erik Vendt,Men,"January 9, 1981 (age 35 years)",180.34,"January 9, 1981",Bronze,22.6575342466
233,2005,1500 metre freestyle,Grant Hackett,Men,"May 9, 1980 (age 36 years)",198.12,"May 9, 1980",Gold,25.3315068493
234,2005,1500 metre freestyle,Larsen Jensen,Men,"September 1, 1985 (age 31 years)",182.88,"September 1, 1985",Silver,20.0136986301
235,2005,1500 metre freestyle,David Davies,Men,"December 23, 1948 (age 67 years)",190.5,"December 23, 1948",Bronze,
236,2007,1500 metre freestyle,Mateusz Sawrymowicz,Men,"April 22, 1987 (age 29 years)",185.42,"April 22, 1987",Gold,20.3753424658
237,2007,1500 metre freestyle,Yury Prilukov,Men,"June 14, 1984 (age 32 years)",187.96,"June 14, 1984",Silver,23.2301369863
238,2007,1500 metre freestyle,David Davies,Men,"December 23, 1948 (age 67 years)",190.5,"December 23, 1948",Bronze,
239,2009,1500 metre freestyle,Oussama Mellouli,Men,"February 16, 1984 (age 32 years)",193.04,"February 16, 1984",Gold,25.5589041096
240,2009,1500 metre freestyle,Ryan Cochrane,Men,"October 29, 1988 (age 28 years)",193.04,"October 29, 1988",Silver,20.8547945205
241,2009,1500 metre freestyle,Sun Yang,Men,"December 1, 1991 (age 25 years)",198.12,"December 1, 1991",Bronze,17.7643835616
242,2011,1500 metre freestyle,Sun Yang,Men,"December 1, 1991 (age 25 years)",198.12,"December 1, 1991",Gold,19.7643835616
243,2011,1500 metre freestyle,Ryan Cochrane,Men,"October 29, 1988 (age 28 years)",193.04,"October 29, 1988",Silver,22.8547945205
244,2011,1500 metre freestyle,Gerg Kis,Men,,,N,Bronze,
245,2013,1500 metre freestyle,Sun Yang,Men,"December 1, 1991 (age 25 years)",198.12,"December 1, 1991",Gold,21.7671232877
246,2013,1500 metre freestyle,Ryan Cochrane,Men,"October 29, 1988 (age 28 years)",193.04,"October 29, 1988",Silver,24.8575342466
247,2013,1500 metre freestyle,Gregorio Paltrinieri,Men,"September 5, 1994 (age 22 years)",190.5,"September 5, 1994",Bronze,19.002739726
248,2015,1500 metre freestyle,Gregorio Paltrinieri,Men,"September 5, 1994 (age 22 years)",190.5,"September 5, 1994",Gold,21.002739726
249,2015,1500 metre freestyle,Connor Jaeger,Men,"April 30, 1991 (age 25 years)",185.42,"April 30, 1991",Silver,24.3561643836
250,2015,1500 metre freestyle,Ryan Cochrane,Men,"October 29, 1988 (age 28 years)",,"October 29, 1988",Bronze,26.8575342466
251,2001,50 metre backstroke,Randall Bal,Men,"November 14, 1980 (age 36 years)",193.04,"November 14, 1980",Gold,20.8109589041
252,2001,50 metre backstroke,Thomas Rupprath,Men,"March 16, 1977 (age 39 years)",177.8,"March 16, 1977",Silver,24.4794520548
253,2001,50 metre backstroke,Matt Welsh,Men,"November 18, 1976 (age 40 years)",187.96,"November 18, 1976",Bronze,24.802739726
254,2003,50 metre backstroke,Thomas Rupprath,Men,"March 16, 1977 (age 39 years)",177.8,"March 16, 1977",Gold,26.4794520548
255,2003,50 metre backstroke,Matt Welsh,Men,"November 18, 1976 (age 40 years)",187.96,"November 18, 1976",Silver,26.802739726
256,2003,50 metre backstroke,Gerhard Zandberg,Men,"April 23, 1983 (age 33 years)",203.2,"April 23, 1983",Bronze,20.3726027397
257,2005,50 metre backstroke,Aristeidis Grigoriadis,Men,"December 6, 1985 (age 30 years)",195.58,"December 6, 1985",Gold,19.7506849315
258,2005,50 metre backstroke,Matt Welsh,Men,"November 18, 1976 (age 40 years)",187.96,"November 18, 1976",Silver,
259,2005,50 metre backstroke,Liam Tancock,Men,"May 7, 1985 (age 31 years)",182.88,"May 7, 1985",Bronze,20.3342465753
260,2007,50 metre backstroke,Gerhard Zandberg,Men,"April 23, 1983 (age 33 years)",203.2,"April 23, 1983",Gold,24.3753424658
261,2007,50 metre backstroke,Thomas Rupprath,Men,"March 16, 1977 (age 39 years)",177.8,"March 16, 1977",Silver,
262,2007,50 metre backstroke,Liam Tancock,Men,"May 7, 1985 (age 31 years)",182.88,"May 7, 1985",Bronze,22.3342465753
263,2009,50 metre backstroke,Liam Tancock,Men,"May 7, 1985 (age 31 years)",182.88,"May 7, 1985",Gold,24.3369863014
264,2009,50 metre backstroke,Junya Koga,Men,"July 19, 1987 (age 29 years)",180.34,"July 19, 1987",Silver,22.1369863014
265,2009,50 metre backstroke,Gerhard Zandberg,Men,"April 23, 1983 (age 33 years)",203.2,"April 23, 1983",Bronze,26.3780821918
266,2011,50 metre backstroke,Liam Tancock,Men,"May 7, 1985 (age 31 years)",182.88,"May 7, 1985",Gold,26.3369863014
267,2011,50 metre backstroke,Camille Lacourt,Men,"April 22, 1985 (age 31 years)",200.66,"April 22, 1985",Silver,26.3780821918
268,2011,50 metre backstroke,Gerhard Zandberg,Men,"April 23, 1983 (age 33 years)",203.2,"April 23, 1983",Bronze,
269,2013,50 metre backstroke,Camille Lacourt,Men,"April 22, 1985 (age 31 years)",200.66,"April 22, 1985",Gold,
270,2013,50 metre backstroke,Jrmy Stravius(FRA) Matt Grevers,Men,,,N,Silver,
271,2015,50 metre backstroke,Camille Lacourt,Men,"April 22, 1985 (age 31 years)",200.66,"April 22, 1985",Gold,
272,2015,50 metre backstroke,Matt Grevers,Men,"March 26, 1985 (age 31 years)",203.2,"March 26, 1985",Silver,
273,2015,50 metre backstroke,Ben Treffers,Men,"August 15, 1991 (age 25 years)",,"August 15, 1991",Bronze,24.0630136986
274,1973,100 metre backstroke,Roland Matthes,Men,"November 17, 1950 (age 66 years)",187.96,"November 17, 1950",Gold,22.8054794521
275,1973,100 metre backstroke,Mike Stamm,Men,"August 6, 1952 (age 64 years)",190.5,"August 6, 1952",Silver,21.0849315068
276,1973,100 metre backstroke,Lutz Wanja,Men,"June 6, 1956 (age 60 years)",182.88,"June 6, 1956",Bronze,17.2493150685
277,1975,100 metre backstroke,Roland Matthes,Men,"November 17, 1950 (age 66 years)",187.96,"November 17, 1950",Gold,24.8054794521
278,1975,100 metre backstroke,John Murphy,Men,"March 4, 1965 (age 51 years)",180.34,"March 4, 1965",Silver,
279,1978,100 metre backstroke,Bob Jackson,Men,"January 6, 1949 (age 67 years)",,"January 6, 1949",Gold,
280,1978,100 metre backstroke,Peter Rocca,Men,"July 27, 1957 (age 59 years)",190.5,"July 27, 1957",Silver,21.1123287671
281,1978,100 metre backstroke,Romulo Arantes,Men,"June 12, 1957",185.42,"June 12, 195",Bronze,
282,1982,100 metre backstroke,Dirk Richter,Men,"September 12, 1964 (age 52 years)",190.5,"September 12, 1964",Gold,17.9808219178
283,1982,100 metre backstroke,Rick Carey,Men,"March 13, 1963 (age 53 years)",182.88,"March 13, 1963",Silver,19.4849315068
284,1982,100 metre backstroke,Vladimir Shemetov,Men,"March 9, 1964 (age 52 years)",,"March 9, 1964",Bronze,18.4931506849
285,1986,100 metre backstroke,Igor Polyansky,Men,"March 20, 1967 (age 49 years)",190.5,"March 20, 1967",Gold,19.4657534247
286,1986,100 metre backstroke,Dirk Richter,Men,"September 12, 1964 (age 52 years)",190.5,"September 12, 1964",Silver,21.9835616438
287,1986,100 metre backstroke,Sergei Zabolotnov,Men,"August 11, 1963 (age 53 years)",193.04,"August 11, 1963",Bronze,23.0739726027
288,1991,100 metre backstroke,Jeff Rouse,Men,"December 6, 1970 (age 45 years)",193.04,"December 6, 1970",Gold,20.7506849315
289,1991,100 metre backstroke,Mark Tewksbury,Men,"July 2, 1968 (age 48 years)",185.42,"July 2, 1968",Silver,23.1808219178
290,1991,100 metre backstroke,Martin Lpez-Zubero,Men,"April 23, 1969 (age 47 years)",187.96,"April 23, 1969",Bronze,22.3726027397
291,1994,100 metre backstroke,Martin Lpez-Zubero,Men,"April 23, 1969 (age 47 years)",187.96,"April 23, 1969",Gold,25.3753424658
292,1994,100 metre backstroke,Jeff Rouse,Men,"December 6, 1970 (age 45 years)",193.04,"December 6, 1970",Silver,23.7534246575
293,1994,100 metre backstroke,Tams Deutsch,Men,,,N,Bronze,
294,1998,100 metre backstroke,Lenny Krayzelburg,Men,"September 28, 1975 (age 41 years)",187.96,"September 28, 1975",Gold,22.9424657534
295,1998,100 metre backstroke,Mark Versfeld,Men,"June 13, 1976 (age 40 years)",185.42,"June 13, 1976",Silver,22.2328767123
296,1998,100 metre backstroke,Stev Theloke,Men,"January 18, 1978 (age 38 years)",203.2,"January 18, 1978",Bronze,20.6328767123
297,2001,100 metre backstroke,Matt Welsh,Men,"November 18, 1976 (age 40 years)",187.96,"November 18, 1976",Gold,24.802739726
298,2001,100 metre backstroke,rn Arnarson,Men,"August 31, 1981 (age 35 years)",,"August 31, 1981",Silver,20.0164383562
299,2001,100 metre backstroke,Steffen Driesen,Men,"November 30, 1981 (age 35 years)",193.04,"November 30, 1981",Bronze,19.7671232877
300,2003,100 metre backstroke,Aaron Peirsol,Men,"July 23, 1983 (age 33 years)",190.5,"July 23, 1983",Gold,20.1232876712
301,2003,100 metre backstroke,Arkady Vyatchanin,Men,"April 4, 1984 (age 32 years)",203.2,"April 4, 1984",Silver,19.4219178082
302,2005,100 metre backstroke,Aaron Peirsol,Men,"July 23, 1983 (age 33 years)",190.5,"July 23, 1983",Gold,22.1260273973
303,2005,100 metre backstroke,Randall Bal,Men,"November 14, 1980 (age 36 years)",193.04,"November 14, 1980",Silver,24.8136986301
304,2005,100 metre backstroke,Lszl Cseh,Men,"December 3, 1985 (age 30 years)",187.96,"December 3, 1985",Bronze,19.7589041096
305,2007,100 metre backstroke,Aaron Peirsol,Men,"July 23, 1983 (age 33 years)",190.5,"July 23, 1983",Gold,24.1260273973
306,2007,100 metre backstroke,Ryan Lochte,Men,"August 3, 1984 (age 32 years)",187.96,"August 3, 1984",Silver,23.0931506849
307,2007,100 metre backstroke,Liam Tancock,Men,"May 7, 1985 (age 31 years)",182.88,"May 7, 1985",Bronze,22.3342465753
308,2009,100 metre backstroke,Junya Koga,Men,"July 19, 1987 (age 29 years)",180.34,"July 19, 1987",Gold,22.1369863014
309,2009,100 metre backstroke,Helge Meeuw,Men,"August 29, 1984 (age 32 years)",177.8,"August 29, 1984",Silver,25.0246575342
310,2009,100 metre backstroke,Aschwin Wildeboer,Men,"February 14, 1986 (age 30 years)",185.42,"February 14, 1986",Bronze,23.5616438356
311,2011,100 metre backstroke,Camille Lacourt,Men,"April 22, 1985 (age 31 years)",200.66,"April 22, 1985",Gold,26.3780821918
312,2011,100 metre backstroke,Ryosuke Irie,Men,"January 24, 1990 (age 26 years)",177.8,"January 24, 1990",Bronze,21.6164383562
313,2013,100 metre backstroke,Matt Grevers,Men,"March 26, 1985 (age 31 years)",203.2,"March 26, 1985",Gold,
314,2013,100 metre backstroke,David Plummer,Men,"October 9, 1985 (age 31 years)",190.5,"October 9, 1985",Silver,
315,2013,100 metre backstroke,Jrmy Stravius,Men,"July 14, 1988 (age 28 years)",190.5,"July 14, 1988",Bronze,25.1506849315
316,2015,100 metre backstroke,Mitch Larkin,Men,"July 9, 1993 (age 23 years)",187.96,"July 9, 1993",Gold,22.1616438356
317,2015,100 metre backstroke,Camille Lacourt,Men,"April 22, 1985 (age 31 years)",200.66,"April 22, 1985",Silver,
318,2015,100 metre backstroke,Matt Grevers,Men,"March 26, 1985 (age 31 years)",203.2,"March 26, 1985",Bronze,
319,1973,200 metre backstroke,Roland Matthes,Men,"November 17, 1950 (age 66 years)",187.96,"November 17, 1950",Gold,22.8054794521
320,1973,200 metre backstroke,Zoltn Verraszt,Men,"March 15, 1956 (age 60 years)",175.26,"March 15, 1956",Silver,17.4767123288
321,1973,200 metre backstroke,John Naber,Men,"January 20, 1956 (age 60 years)",198.12,"January 20, 1956",Bronze,17.6273972603
322,1975,200 metre backstroke,Zoltn Verraszt,Men,"March 15, 1956 (age 60 years)",175.26,"March 15, 1956",Gold,19.4767123288
323,1975,200 metre backstroke,Mark Tonelli,Men,"April 13, 1957 (age 59 years)",180.34,"April 13, 1957",Silver,18.397260274
324,1975,200 metre backstroke,Paul Hove,Men,,,N,Bronze,
325,1978,200 metre backstroke,Jesse Vassallo,Men,"August 9, 1961 (age 55 years)",175.26,"August 9, 1961",Gold,17.0739726027
326,1978,200 metre backstroke,Gary Hurring,Men,"October 10, 1961 (age 55 years)",,"October 10, 1961",Silver,16.904109589
327,1978,200 metre backstroke,Zoltn Verraszt,Men,"March 15, 1956 (age 60 years)",175.26,"March 15, 1956",Bronze,22.4794520548
328,1982,200 metre backstroke,Rick Carey,Men,"March 13, 1963 (age 53 years)",182.88,"March 13, 1963",Gold,19.4849315068
329,1982,200 metre backstroke,Sndor Wladr,Men,,,N,Silver,
330,1982,200 metre backstroke,Frank Baltrusch,Men,"March 21, 1964 (age 52 years)",193.04,"March 21, 1964",Bronze,18.4602739726
331,1986,200 metre backstroke,Igor Polyansky,Men,"March 20, 1967 (age 49 years)",190.5,"March 20, 1967",Gold,19.4657534247
332,1986,200 metre backstroke,Frank Baltrusch,Men,"March 21, 1964 (age 52 years)",193.04,"March 21, 1964",Silver,22.4630136986
333,1986,200 metre backstroke,Frank Hoffmeister,Men,1969,,196,Bronze,
334,1991,200 metre backstroke,Martin Lpez-Zubero,Men,"April 23, 1969 (age 47 years)",187.96,"April 23, 1969",Gold,22.3726027397
335,1991,200 metre backstroke,Stefano Battistelli,Men,"March 6, 1970 (age 46 years)",175.26,"March 6, 1970",Silver,21.504109589
336,1991,200 metre backstroke,Vladimir Selkov,Men,"April 1, 1971 (age 45 years)",187.96,"April 1, 1971",Bronze,20.4328767123
337,1994,200 metre backstroke,Vladimir Selkov,Men,"April 1, 1971 (age 45 years)",187.96,"April 1, 1971",Gold,23.4356164384
338,1994,200 metre backstroke,Martin Lpez-Zubero,Men,"April 23, 1969 (age 47 years)",187.96,"April 23, 1969",Silver,25.3753424658
339,1994,200 metre backstroke,Royce Sharp,Men,"May 25, 1972 (age 44 years)",182.88,"May 25, 1972",Bronze,22.2849315068
340,1998,200 metre backstroke,Lenny Krayzelburg,Men,"September 28, 1975 (age 41 years)",187.96,"September 28, 1975",Gold,22.9424657534
341,1998,200 metre backstroke,Ralf Braun,Men,"December 18, 1940",193.04,"December 18, 194",Silver,
342,1998,200 metre backstroke,Mark Versfeld,Men,"June 13, 1976 (age 40 years)",185.42,"June 13, 1976",Bronze,22.2328767123
343,2001,200 metre backstroke,Aaron Peirsol,Men,"July 23, 1983 (age 33 years)",190.5,"July 23, 1983",Gold,18.1232876712
344,2001,200 metre backstroke,Markus Rogan,Men,"May 4, 1982 (age 34 years)",195.58,"May 4, 1982",Silver,19.3424657534
345,2001,200 metre backstroke,rn Arnarson,Men,"August 31, 1981 (age 35 years)",,"August 31, 1981",Bronze,20.0164383562
346,2003,200 metre backstroke,Aaron Peirsol,Men,"July 23, 1983 (age 33 years)",190.5,"July 23, 1983",Gold,20.1232876712
347,2003,200 metre backstroke,Gordan Koulj,Men,,,N,Silver,
348,2003,200 metre backstroke,Simon Dufour,Men,"February 20, 1979 (age 37 years)",,"February 20, 1979",Bronze,24.5452054795
349,2005,200 metre backstroke,Aaron Peirsol,Men,"July 23, 1983 (age 33 years)",190.5,"July 23, 1983",Gold,22.1260273973
350,2005,200 metre backstroke,Markus Rogan,Men,"May 4, 1982 (age 34 years)",195.58,"May 4, 1982",Silver,23.3452054795
351,2005,200 metre backstroke,Ryan Lochte,Men,"August 3, 1984 (age 32 years)",187.96,"August 3, 1984",Bronze,21.0931506849
352,2007,200 metre backstroke,Ryan Lochte,Men,"August 3, 1984 (age 32 years)",187.96,"August 3, 1984",Gold,23.0931506849
353,2007,200 metre backstroke,Aaron Peirsol,Men,"July 23, 1983 (age 33 years)",190.5,"July 23, 1983",Silver,24.1260273973
354,2007,200 metre backstroke,Markus Rogan,Men,"May 4, 1982 (age 34 years)",195.58,"May 4, 1982",Bronze,25.3452054795
355,2009,200 metre backstroke,Aaron Peirsol,Men,"July 23, 1983 (age 33 years)",190.5,"July 23, 1983",Gold,26.1287671233
356,2009,200 metre backstroke,Ryosuke Irie,Men,"January 24, 1990 (age 26 years)",177.8,"January 24, 1990",Silver,19.6164383562
357,2009,200 metre backstroke,Ryan Lochte,Men,"August 3, 1984 (age 32 years)",187.96,"August 3, 1984",Bronze,25.095890411
358,2011,200 metre backstroke,Ryan Lochte,Men,"August 3, 1984 (age 32 years)",187.96,"August 3, 1984",Gold,27.095890411
359,2011,200 metre backstroke,Ryosuke Irie,Men,"January 24, 1990 (age 26 years)",177.8,"January 24, 1990",Silver,21.6164383562
360,2011,200 metre backstroke,Tyler Clary,Men,"March 12, 1989 (age 27 years)",185.42,"March 12, 1989",Bronze,22.4876712329
361,2013,200 metre backstroke,Ryan Lochte,Men,"August 3, 1984 (age 32 years)",187.96,"August 3, 1984",Gold,
362,2013,200 metre backstroke,Radosaw Kawcki,Men,"August 16, 1991 (age 25 years)",185.42,"August 16, 1991",Silver,22.0602739726
363,2013,200 metre backstroke,Tyler Clary,Men,"March 12, 1989 (age 27 years)",185.42,"March 12, 1989",Bronze,24.4904109589
364,2015,200 metre backstroke,Mitch Larkin,Men,"July 9, 1993 (age 23 years)",187.96,"July 9, 1993",Gold,22.1616438356
365,2015,200 metre backstroke,Radosaw Kawcki,Men,"August 16, 1991 (age 25 years)",185.42,"August 16, 1991",Silver,24.0602739726
366,2015,200 metre backstroke,Evgeny Rylov,Men,"September 23, 1996 (age 20 years)",182.88,"September 23, 1996",Bronze,18.9506849315
367,2001,50 metre breaststroke,Oleh Lisohor,Men,"January 17, 1979 (age 37 years)",,"January 17, 1979",Gold,22.6383561644
368,2001,50 metre breaststroke,Roman Sloudnov,Men,"February 4, 1980 (age 36 years)",187.96,"February 4, 1980",Silver,21.5890410959
369,2001,50 metre breaststroke,Domenico Fioravanti,Men,"May 31, 1977 (age 39 years)",177.8,"May 31, 1977",Bronze,24.2712328767
370,2003,50 metre breaststroke,James Gibson,Men,,175.26,N,Gold,
371,2003,50 metre breaststroke,Oleh Lisohor,Men,"January 17, 1979 (age 37 years)",,"January 17, 1979",Silver,24.6383561644
372,2003,50 metre breaststroke,Mihly Flaskay,Men,"May 18, 1982 (age 34 years)",,"May 18, 1982",Bronze,21.304109589
373,2005,50 metre breaststroke,Mark Warnecke,Men,"February 15, 1970 (age 46 years)",187.96,"February 15, 1970",Gold,
374,2005,50 metre breaststroke,Mark Gangloff,Men,"June 8, 1982 (age 34 years)",182.88,"June 8, 1982",Silver,23.2493150685
375,2005,50 metre breaststroke,Kosuke Kitajima,Men,,177.8,N,Bronze,
376,2007,50 metre breaststroke,Oleh Lisohor,Men,"January 17, 1979 (age 37 years)",,"January 17, 1979",Gold,
377,2007,50 metre breaststroke,Brendan Hansen,Men,"August 15, 1981 (age 35 years)",182.88,"August 15, 1981",Silver,26.0630136986
378,2007,50 metre breaststroke,Cameron van der Burgh,Men,"May 25, 1988 (age 28 years)",182.88,"May 25, 1988",Bronze,19.2821917808
379,2009,50 metre breaststroke,Cameron van der Burgh,Men,"May 25, 1988 (age 28 years)",182.88,"May 25, 1988",Gold,21.2849315068
380,2009,50 metre breaststroke,Felipe Frana Silva,Men,"May 14, 1987 (age 29 years)",185.42,"May 14, 1987",Silver,22.3178082192
381,2009,50 metre breaststroke,Mark Gangloff,Men,"June 8, 1982 (age 34 years)",182.88,"June 8, 1982",Bronze,27.2520547945
382,2011,50 metre breaststroke,Felipe Frana Silva,Men,"May 14, 1987 (age 29 years)",185.42,"May 14, 1987",Gold,24.3178082192
383,2011,50 metre breaststroke,Fabio Scozzoli,Men,"August 3, 1988 (age 28 years)",187.96,"August 3, 1988",Silver,23.0931506849
384,2011,50 metre breaststroke,Cameron van der Burgh,Men,"May 25, 1988 (age 28 years)",182.88,"May 25, 1988",Bronze,23.2849315068
385,2013,50 metre breaststroke,Cameron van der Burgh,Men,"May 25, 1988 (age 28 years)",182.88,"May 25, 1988",Gold,25.2876712329
386,2013,50 metre breaststroke,Christian Sprenger,Men,"December 19, 1985 (age 30 years)",195.58,"December 19, 1985",Silver,
387,2013,50 metre breaststroke,Giulio Zorzi,Men,"January 3, 1989 (age 27 years)",190.5,"January 3, 1989",Bronze,24.6767123288
388,2015,50 metre breaststroke,Adam Peaty,Men,"December 28, 1994 (age 21 years)",190.5,"December 28, 1994",Gold,20.6904109589
389,2015,50 metre breaststroke,Cameron van der Burgh,Men,"May 25, 1988 (age 28 years)",182.88,"May 25, 1988",Silver,27.2876712329
390,2015,50 metre breaststroke,Kevin Cordes,Men,"August 13, 1993 (age 23 years)",195.58,"August 13, 1993",Bronze,22.0657534247
391,1973,100 metre breaststroke,John Hencken,Men,"May 29, 1954 (age 62 years)",182.88,"May 29, 1954",Gold,19.2739726027
392,1973,100 metre breaststroke,Mikhail Khryukin,Men,1955,,195,Silver,
393,1973,100 metre breaststroke,Nobutaka Taguchi,Men,"June 18, 1951 (age 65 years)",172.72,"June 18, 1951",Bronze,22.2219178082
394,1975,100 metre breaststroke,David Wilkie,Men,"November 18, 1785",182.88,"November 18, 178",Gold,
395,1975,100 metre breaststroke,Nobutaka Taguchi,Men,"June 18, 1951 (age 65 years)",172.72,"June 18, 1951",Silver,24.2219178082
396,1975,100 metre breaststroke,David Leigh,Men,"May 31, 1963 (age 53 years)",,"May 31, 1963",Bronze,
397,1978,100 metre breaststroke,Walter Kusch,Men,"May 31, 1954 (age 62 years)",,"May 31, 1954",Gold,24.2712328767
398,1978,100 metre breaststroke,Graham Smith,Men,,190.5,N,Silver,
399,1978,100 metre breaststroke,Gerald Mrken,Men,,,N,Bronze,
400,1982,100 metre breaststroke,Steve Lundquist,Men,"February 20, 1961 (age 55 years)",187.96,"February 20, 1961",Gold,21.5424657534
401,1982,100 metre breaststroke,Victor Davis,Men,"February 10, 1964",187.96,"February 10, 196",Silver,
402,1982,100 metre breaststroke,John Moffett,Men,"October 28, 1986 (age 30 years)",193.04,"October 28, 1986",Bronze,
403,1986,100 metre breaststroke,Victor Davis,Men,"February 10, 1964",187.96,"February 10, 196",Gold,
404,1986,100 metre breaststroke,Gianni Minervini,Men,"October 26, 1928 (age 88 years)",193.04,"October 26, 1928",Silver,
405,1986,100 metre breaststroke,Dmitry Volkov,Men,"March 30, 1966 (age 50 years)",200.66,"March 30, 1966",Bronze,20.4383561644
406,1991,100 metre breaststroke,Norbert Rzsa,Men,"February 9, 1972 (age 44 years)",185.42,"February 9, 1972",Gold,19.5726027397
407,1991,100 metre breaststroke,Adrian Moorhouse,Men,"May 24, 1964 (age 52 years)",187.96,"May 24, 1964",Silver,27.2904109589
408,1991,100 metre breaststroke,Gianni Minervini,Men,"October 26, 1928 (age 88 years)",193.04,"October 26, 1928",Bronze,
409,1994,100 metre breaststroke,Norbert Rzsa,Men,"February 9, 1972 (age 44 years)",185.42,"February 9, 1972",Gold,22.5753424658
410,1994,100 metre breaststroke,Kroly Gttler,Men,"June 15, 1968 (age 48 years)",187.96,"June 15, 1968",Silver,26.2301369863
411,1994,100 metre breaststroke,Frdrik Deburghgraeve,Men,"June 1, 1973 (age 43 years)",175.26,"June 1, 1973",Bronze,21.2657534247
412,1998,100 metre breaststroke,Frdrik Deburghgraeve,Men,"June 1, 1973 (age 43 years)",175.26,"June 1, 1973",Gold,25.2684931507
413,1998,100 metre breaststroke,Zeng Qiliang,Men,"May 10, 1975 (age 41 years)",175.26,"May 10, 1975",Silver,23.3287671233
414,1998,100 metre breaststroke,Kurt Grote,Men,"August 3, 1973 (age 43 years)",187.96,"August 3, 1973",Bronze,25.095890411
415,2001,100 metre breaststroke,Roman Sloudnov,Men,"February 4, 1980 (age 36 years)",187.96,"February 4, 1980",Gold,21.5890410959
416,2001,100 metre breaststroke,Domenico Fioravanti,Men,"May 31, 1977 (age 39 years)",177.8,"May 31, 1977",Silver,24.2712328767
417,2001,100 metre breaststroke,Ed Moses,Men,"August 31, 1955 (age 61 years)",180.34,"August 31, 1955",Bronze,
418,2003,100 metre breaststroke,Kosuke Kitajima,Men,,177.8,N,Gold,
419,2003,100 metre breaststroke,Brendan Hansen,Men,"August 15, 1981 (age 35 years)",182.88,"August 15, 1981",Silver,22.0602739726
420,2003,100 metre breaststroke,James Gibson,Men,,175.26,N,Bronze,
421,2005,100 metre breaststroke,Brendan Hansen,Men,"August 15, 1981 (age 35 years)",182.88,"August 15, 1981",Gold,24.0630136986
422,2005,100 metre breaststroke,Kosuke Kitajima,Men,,177.8,N,Silver,
423,2005,100 metre breaststroke,Hugues Duboscq,Men,"August 29, 1981 (age 35 years)",190.5,"August 29, 1981",Bronze,24.0246575342
424,2007,100 metre breaststroke,Brendan Hansen,Men,"August 15, 1981 (age 35 years)",182.88,"August 15, 1981",Gold,26.0630136986
425,2007,100 metre breaststroke,Kosuke Kitajima,Men,,177.8,N,Silver,
426,2007,100 metre breaststroke,Brenton Rickard,Men,"October 19, 1983 (age 33 years)",193.04,"October 19, 1983",Bronze,23.8849315068
427,2009,100 metre breaststroke,Brenton Rickard,Men,"October 19, 1983 (age 33 years)",193.04,"October 19, 1983",Gold,25.8876712329
428,2009,100 metre breaststroke,Hugues Duboscq,Men,"August 29, 1981 (age 35 years)",190.5,"August 29, 1981",Silver,
429,2009,100 metre breaststroke,Cameron van der Burgh,Men,"May 25, 1988 (age 28 years)",182.88,"May 25, 1988",Bronze,21.2849315068
430,2011,100 metre breaststroke,Alexander Dale Oen,Men,"May 21, 1985",190.5,"May 21, 198",Gold,
431,2011,100 metre breaststroke,Fabio Scozzoli,Men,"August 3, 1988 (age 28 years)",187.96,"August 3, 1988",Silver,23.0931506849
